uniprot	sym	idgfam	tdl	name
P46095	GPR6	GPCR	Tbio	G-protein coupled receptor 6
Q96P69	GPR78	GPCR	Tbio	G-protein coupled receptor 78
Q16099	GRIK4	IC	Tclin	Glutamate receptor ionotropic, kainate 4
Q14831	GRM7	GPCR	Tbio	Metabotropic glutamate receptor 7
P49840	GSK3A	Kinase	Tclin	Glycogen synthase kinase-3 alpha
Q14416	GRM2	GPCR	Tchem	Metabotropic glutamate receptor 2
O15303	GRM6	GPCR	Tchem	Metabotropic glutamate receptor 6
O00222	GRM8	GPCR	Tchem	Metabotropic glutamate receptor 8
P49841	GSK3B	Kinase	Tclin	Glycogen synthase kinase-3 beta
Q9UL51	HCN2	IC	Tclin	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
Q9P1Z3	HCN3	IC	Tclin	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3
Q99678	GPR20	GPCR	Tdark	G-protein coupled receptor 20
O43424	GRID2	IC	Tbio	Glutamate receptor ionotropic, delta-2
Q16478	GRIK5	IC	Tclin	Glutamate receptor ionotropic, kainate 5
P34947	GRK5	Kinase	Tchem	G protein-coupled receptor kinase 5
P08631	HCK	Kinase	Tclin	Tyrosine-protein kinase HCK
Q14330	GPR18	GPCR	Tchem	N-arachidonyl glycine receptor
P46091	GPR1	GPCR	Tbio	G-protein coupled receptor 1
Q99680	GPR22	GPCR	Tdark	Probable G-protein coupled receptor 22
Q9HC97	GPR35	GPCR	Tchem	G-protein coupled receptor 35
O15354	GPR37	GPCR	Tbio	Prosaposin receptor GPR37
O43194	GPR39	GPCR	Tchem	G-protein coupled receptor 39
Q9NYM4	GPR83	GPCR	Tbio	Probable G-protein coupled receptor 83
Q14833	GRM4	GPCR	Tchem	Metabotropic glutamate receptor 4
P41594	GRM5	GPCR	Tchem	Metabotropic glutamate receptor 5
Q5T848	GPR158	GPCR	Tbio	Probable G-protein coupled receptor 158
Q16538	GPR162	GPCR	Tbio	Probable G-protein coupled receptor 162
Q9NZH0	GPRC5B	GPCR	Tbio	G-protein coupled receptor family C group 5 member B
P25092	GUCY2C	Kinase	Tclin	Heat-stable enterotoxin receptor
Q8TF76	GSG2	Kinase	Tchem	Serine/threonine-protein kinase haspin
Q6PRD1	GPR179	GPCR	Tdark	Probable G-protein coupled receptor 179
Q96S66	CLCC1	IC	Tbio	Chloride channel CLIC-like protein 1
P51793	CLCN4	IC	Tbio	H(+)/Cl(-) exchange transporter 4
Q9NZA1	CLIC5	IC	Tbio	Chloride intracellular channel protein 5
Q9Y271	CYSLTR1	GPCR	Tclin	Cysteinyl leukotriene receptor 1
Q9NQW8	CNGB3	IC	Tbio	Cyclic nucleotide-gated cation channel beta-3
P35523	CLCN1	IC	Tbio	Chloride channel protein 1
Q5EBM0	CMPK2	Kinase	Tbio	UMP-CMP kinase 2, mitochondrial
A8K7I4	CLCA1	IC	Tbio	Calcium-activated chloride channel regulator 1
Q14028	CNGB1	IC	Tbio	Cyclic nucleotide-gated cation channel beta-1
O96017	CHEK2	Kinase	Tchem	Serine/threonine-protein kinase Chk2
Q9Y6N3	CLCA3P	IC	Tdark	Calcium-activated chloride channel regulator family member 3
Q14CN2	CLCA4	IC	Tbio	Calcium-activated chloride channel regulator 4
O00299	CLIC1	IC	Tbio	Chloride intracellular channel protein 1
Q99788	CMKLR1	GPCR	Tbio	Chemokine-like receptor 1
P49759	CLK1	Kinase	Tchem	Dual specificity protein kinase CLK1
Q9HAZ1	CLK4	Kinase	Tchem	Dual specificity protein kinase CLK4
P29973	CNGA1	IC	Tbio	cGMP-gated cation channel alpha-1
Q8IV77	CNGA4	IC	Tdark	Cyclic nucleotide-gated cation channel alpha-4
P51800	CLCNKA	IC	Tbio	Chloride channel protein ClC-Ka
P51801	CLCNKB	IC	Tbio	Chloride channel protein ClC-Kb
P51797	CLCN6	IC	Tbio	Chloride transport protein 6
P51798	CLCN7	IC	Tbio	H(+)/Cl(-) exchange transporter 7
O95833	CLIC3	IC	Tbio	Chloride intracellular channel protein 3
Q9Y696	CLIC4	IC	Tbio	Chloride intracellular channel protein 4
Q96NY7	CLIC6	IC	Tbio	Chloride intracellular channel protein 6
P49760	CLK2	Kinase	Tchem	Dual specificity protein kinase CLK2
P51788	CLCN2	IC	Tclin	Chloride channel protein 2
P51790	CLCN3	IC	Tbio	H(+)/Cl(-) exchange transporter 3
P51795	CLCN5	IC	Tbio	H(+)/Cl(-) exchange transporter 5
P49761	CLK3	Kinase	Tchem	Dual specificity protein kinase CLK3
Q8NI60	COQ8A	Kinase	Tchem	Atypical kinase COQ8A, mitochondrial
Q9NS75	CYSLTR2	GPCR	Tchem	Cysteinyl leukotriene receptor 2
Q9Y259	CHKB	Kinase	Tbio	Choline/ethanolamine kinase
Q9UQC9	CLCA2	IC	Tbio	Calcium-activated chloride channel regulator 2
O15247	CLIC2	IC	Tbio	Chloride intracellular channel protein 2
Q16280	CNGA2	IC	Tbio	Cyclic nucleotide-gated olfactory channel
P34972	CNR2	GPCR	Tchem	Cannabinoid receptor 2
Q16281	CNGA3	IC	Tbio	Cyclic nucleotide-gated cation channel alpha-3
P21554	CNR1	GPCR	Tclin	Cannabinoid receptor 1
P24468	NR2F2	NR	Tbio	COUP transcription factor 2
Q96D53	COQ8B	Kinase	Tchem	Atypical kinase COQ8B, mitochondrial
Q96D31	ORAI1	IC	Tchem	Calcium release-activated calcium channel protein 1
O14936	CASK	Kinase	Tchem	Peripheral plasma membrane protein CASK
P41240	CSK	Kinase	Tchem	Tyrosine-protein kinase CSK
P19784	CSNK2A2	Kinase	Tchem	Casein kinase II subunit alpha'
P67870	CSNK2B	Kinase	Tbio	Casein kinase II subunit beta
P10589	NR2F1	NR	Tbio	COUP transcription factor 1
Q96P56	CATSPER2	IC	Tchem	Cation channel sperm-associated protein 2
P34998	CRHR1	GPCR	Tclin	Corticotropin-releasing factor receptor 1
Q7RTX7	CATSPER4	IC	Tchem	Cation channel sperm-associated protein 4
Q8NEC5	CATSPER1	IC	Tchem	Cation channel sperm-associated protein 1
P49238	CX3CR1	GPCR	Tchem	CX3C chemokine receptor 1
P04839	CYBB	IC	Tchem	Cytochrome b-245 heavy chain
Q9Y2W7	KCNIP3	IC	Tbio	Calsenilin
P07333	CSF1R	Kinase	Tclin	Macrophage colony-stimulating factor 1 receptor
P68400	CSNK2A1	Kinase	Tchem	Casein kinase II subunit alpha
O14578	CIT	Kinase	Tchem	Citron Rho-interacting kinase
Q13324	CRHR2	GPCR	Tchem	Corticotropin-releasing factor receptor 2
Q8NEV1	CSNK2A3	Kinase	Tdark	Casein kinase II subunit alpha 3
P25024	CXCR1	GPCR	Tchem	C-X-C chemokine receptor type 1
P49682	CXCR3	GPCR	Tchem	C-X-C chemokine receptor type 3
P61073	CXCR4	GPCR	Tclin	C-X-C chemokine receptor type 4
Q08345	DDR1	Kinase	Tchem	Epithelial discoidin domain-containing receptor 1
Q09013	DMPK	Kinase	Tchem	Myotonin-protein kinase
Q9C098	DCLK3	Kinase	Tchem	Serine/threonine-protein kinase DCLK3
Q16832	DDR2	Kinase	Tchem	Discoidin domain-containing receptor 2
P52824	DGKQ	Kinase	Tbio	Diacylglycerol kinase theta
Q86XP1	DGKH	Kinase	Tbio	Diacylglycerol kinase eta
P53355	DAPK1	Kinase	Tchem	Death-associated protein kinase 1
O15075	DCLK1	Kinase	Tchem	Serine/threonine-protein kinase DCLK1
Q9UIK4	DAPK2	Kinase	Tchem	Death-associated protein kinase 2
P23743	DGKA	Kinase	Tbio	Diacylglycerol kinase alpha
P35462	DRD3	GPCR	Tclin	D(3) dopamine receptor
P21728	DRD1	GPCR	Tclin	D(1A) dopamine receptor
Q6XUX3	DSTYK	Kinase	Tchem	Dual serine/threonine and tyrosine protein kinase
P21917	DRD4	GPCR	Tchem	D(4) dopamine receptor
Q92630	DYRK2	Kinase	Tchem	Dual specificity tyrosine-phosphorylation-regulated kinase 2
P19525	EIF2AK2	Kinase	Tchem	Interferon-induced, double-stranded RNA-activated protein kinase
P24530	EDNRB	GPCR	Tclin	Endothelin B receptor
P00533	EGFR	Kinase	Tclin	Epidermal growth factor receptor
P21918	DRD5	GPCR	Tchem	D(1B) dopamine receptor
P25101	EDNRA	GPCR	Tclin	Endothelin-1 receptor
Q9Y463	DYRK1B	Kinase	Tchem	Dual specificity tyrosine-phosphorylation-regulated kinase 1B
Q9NR20	DYRK4	Kinase	Tchem	Dual specificity tyrosine-phosphorylation-regulated kinase 4
Q9NZJ5	EIF2AK3	Kinase	Tchem	Eukaryotic translation initiation factor 2-alpha kinase 3
Q9P2K8	EIF2AK4	Kinase	Tchem	eIF-2-alpha kinase GCN2
P14416	DRD2	GPCR	Tclin	D(2) dopamine receptor
P54760	EPHB4	Kinase	Tchem	Ephrin type-B receptor 4
O95718	ESRRB	NR	Tchem	Steroid hormone receptor ERR2
P29320	EPHA3	Kinase	Tchem	Ephrin type-A receptor 3
Q9UF33	EPHA6	Kinase	Tchem	Ephrin type-A receptor 6
Q15375	EPHA7	Kinase	Tchem	Ephrin type-A receptor 7
O15197	EPHB6	Kinase	Tchem	Ephrin type-B receptor 6
Q76MJ5	ERN2	Kinase	Tbio	Serine/threonine-protein kinase/endoribonuclease IRE2
P21860	ERBB3	Kinase	Tchem	Receptor tyrosine-protein kinase erbB-3
Q15303	ERBB4	Kinase	Tclin	Receptor tyrosine-protein kinase erbB-4
P54764	EPHA4	Kinase	Tchem	Ephrin type-A receptor 4
O60883	GPR37L1	GPCR	Tbio	Prosaposin receptor GPR37L1
Q5R3K3	FAM26F	IC	Tdark	Protein FAM26F
Q14289	PTK2B	Kinase	Tchem	Protein-tyrosine kinase 2-beta
Q16875	PFKFB3	Kinase	Tchem	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3
Q5JW98	FAM26D	IC	Tdark	Protein FAM26D
O75460	ERN1	Kinase	Tchem	Serine/threonine-protein kinase/endoribonuclease IRE1
P16118	PFKFB1	Kinase	Tchem	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1
O60825	PFKFB2	Kinase	Tchem	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2
P16591	FER	Kinase	Tchem	Tyrosine-protein kinase Fer
P21802	FGFR2	Kinase	Tclin	Fibroblast growth factor receptor 2
P07332	FES	Kinase	Tchem	Tyrosine-protein kinase Fes/Fps
P03372	ESR1	NR	Tclin	Estrogen receptor
P11362	FGFR1	Kinase	Tclin	Fibroblast growth factor receptor 1
Q96C11	FGGY	Kinase	Tbio	FGGY carbohydrate kinase domain-containing protein
P11474	ESRRA	NR	Tchem	Steroid hormone receptor ERR1
Q8N5C1	FAM26E	IC	Tdark	Protein FAM26E
Q14296	FASTK	Kinase	Tbio	Fas-activated serine/threonine kinase
O14843	FFAR3	GPCR	Tbio	Free fatty acid receptor 3
Q05397	PTK2	Kinase	Tchem	Focal adhesion kinase 1
P22607	FGFR3	Kinase	Tclin	Fibroblast growth factor receptor 3
P36888	FLT3	Kinase	Tclin	Receptor-type tyrosine-protein kinase FLT3
Q9H479	FN3K	Kinase	Tbio	Fructosamine-3-kinase
P22455	FGFR4	Kinase	Tclin	Fibroblast growth factor receptor 4
P09769	FGR	Kinase	Tchem	Tyrosine-protein kinase Fgr
P23945	FSHR	GPCR	Tclin	Follicle-stimulating hormone receptor
O00144	FZD9	GPCR	Tbio	Frizzled-9
P59646	FXYD4	IC	Tdark	FXYD domain-containing ion transport regulator 4
Q96DB9	FXYD5	IC	Tbio	FXYD domain-containing ion transport regulator 5
P58550	FXYD6P3	IC	Tdark	Putative FXYD domain-containing ion transport regulator 8
P06241	FYN	Kinase	Tclin	Tyrosine-protein kinase Fyn
Q9H0Q3	FXYD6	IC	Tbio	FXYD domain-containing ion transport regulator 6
Q9H461	FZD8	GPCR	Tbio	Frizzled-8
O14842	FFAR1	GPCR	Tchem	Free fatty acid receptor 1
O15552	FFAR2	GPCR	Tchem	Free fatty acid receptor 2
Q5NUL3	FFAR4	GPCR	Tchem	Free fatty acid receptor 4
Q14409	GK3P	Kinase	Tdark	Glycerol kinase 3
P14867	GABRA1	IC	Tclin	Gamma-aminobutyric acid receptor subunit alpha-1
P47869	GABRA2	IC	Tclin	Gamma-aminobutyric acid receptor subunit alpha-2
Q16445	GABRA6	IC	Tclin	Gamma-aminobutyric acid receptor subunit alpha-6
P78334	GABRE	IC	Tclin	Gamma-aminobutyric acid receptor subunit epsilon
P18507	GABRG2	IC	Tclin	Gamma-aminobutyric acid receptor subunit gamma-2
O00591	GABRP	IC	Tclin	Gamma-aminobutyric acid receptor subunit pi
P28476	GABRR2	IC	Tbio	Gamma-aminobutyric acid receptor subunit rho-2
Q9UN88	GABRQ	IC	Tclin	Gamma-aminobutyric acid receptor subunit theta
P23415	GLRA1	IC	Tclin	Glycine receptor subunit alpha-1
Q14410	GK2	Kinase	Tdark	Glycerol kinase 2
P23416	GLRA2	IC	Tchem	Glycine receptor subunit alpha-2
P48167	GLRB	IC	Tclin	Glycine receptor subunit beta
P48169	GABRA4	IC	Tclin	Gamma-aminobutyric acid receptor subunit alpha-4
P18505	GABRB1	IC	Tclin	Gamma-aminobutyric acid receptor subunit beta-1
P24046	GABRR1	IC	Tchem	Gamma-aminobutyric acid receptor subunit rho-1
A8MPY1	GABRR3	IC	Tdark	Gamma-aminobutyric acid receptor subunit rho-3
Q8IVS8	GLYCTK	Kinase	Tbio	Glycerate kinase
Q92847	GHSR	GPCR	Tclin	Growth hormone secretagogue receptor type 1
Q9NS66	GPR173	GPCR	Tdark	Probable G-protein coupled receptor 173
Q14439	GPR176	GPCR	Tbio	Probable G-protein coupled receptor 176
P47871	GCGR	GPCR	Tclin	Glucagon receptor
Q5VW38	GPR107	GPCR	Tdark	Protein GPR107
Q9UNW8	GPR132	GPCR	Tbio	Probable G-protein coupled receptor 132
Q7Z601	GPR142	GPCR	Tchem	Probable G-protein coupled receptor 142
P51810	GPR143	GPCR	Tbio	G-protein coupled receptor 143
Q8TDV0	GPR151	GPCR	Tdark	Probable G-protein coupled receptor 151
Q8NFN8	GPR156	GPCR	Tbio	Probable G-protein coupled receptor 156
O14626	GPR171	GPCR	Tdark	Probable G-protein coupled receptor 171
Q9NZD1	GPRC5D	GPCR	Tdark	G-protein coupled receptor family C group 5 member D
Q99527	GPER1	GPCR	Tchem	G-protein coupled estrogen receptor 1
B7ZAQ6	GPR89A	IC	Tbio	Golgi pH regulator A
P43220	GLP1R	GPCR	Tclin	Glucagon-like peptide 1 receptor
Q6ZS86	GK5	Kinase	Tbio	Putative glycerol kinase 5
P32189	GK	Kinase	Tbio	Glycerol kinase
Q5JXX5	GLRA4	IC	Tdark	Glycine receptor subunit alpha-4
Q6DWJ6	GPR139	GPCR	Tchem	Probable G-protein coupled receptor 139
P51841	GUCY2F	Kinase	Tbio	Retinal guanylyl cyclase 2
Q96GX5	MASTL	Kinase	Tbio	Serine/threonine-protein kinase greatwall
Q9Y3Q4	HCN4	IC	Tclin	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
Q8NE63	HIPK4	Kinase	Tchem	Homeodomain-interacting protein kinase 4
Q9BXC0	HCAR1	GPCR	Tbio	Hydroxycarboxylic acid receptor 1
P49019	HCAR3	GPCR	Tchem	Hydroxycarboxylic acid receptor 3
P41235	HNF4A	NR	Tbio	Hepatocyte nuclear factor 4-alpha
P35367	HRH1	GPCR	Tclin	Histamine H1 receptor
Q8TDS4	HCAR2	GPCR	Tclin	Hydroxycarboxylic acid receptor 2
Q86Z02	HIPK1	Kinase	Tchem	Homeodomain-interacting protein kinase 1
Q9H2X6	HIPK2	Kinase	Tchem	Homeodomain-interacting protein kinase 2
Q2TB90	HKDC1	Kinase	Tbio	Putative hexokinase HKDC1
O60741	HCN1	IC	Tclin	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1
Q9H422	HIPK3	Kinase	Tchem	Homeodomain-interacting protein kinase 3
Q9H3N8	HRH4	GPCR	Tchem	Histamine H4 receptor
Q14541	HNF4G	NR	Tbio	Hepatocyte nuclear factor 4-gamma
P57058	HUNK	Kinase	Tchem	Hormonally up-regulated neu tumor-associated kinase
Q96D96	HVCN1	IC	Tbio	Voltage-gated hydrogen channel 1
P52790	HK3	Kinase	Tbio	Hexokinase-3
P35557	GCK	Kinase	Tchem	Glucokinase
Q9UPZ9	ICK	Kinase	Tchem	Serine/threonine-protein kinase ICK
P19367	HK1	Kinase	Tbio	Hexokinase-1
P52789	HK2	Kinase	Tbio	Hexokinase-2
P25021	HRH2	GPCR	Tclin	Histamine H2 receptor
Q9Y5N1	HRH3	GPCR	Tclin	Histamine H3 receptor
O15111	CHUK	Kinase	Tchem	Inhibitor of nuclear factor kappa-B kinase subunit alpha
O14920	IKBKB	Kinase	Tchem	Inhibitor of nuclear factor kappa-B kinase subunit beta
P08069	IGF1R	Kinase	Tclin	Insulin-like growth factor 1 receptor
Q13418	ILK	Kinase	Tchem	Integrin-linked protein kinase
P06213	INSR	Kinase	Tclin	Insulin receptor
P23677	ITPKA	Kinase	Tbio	Inositol-trisphosphate 3-kinase A
Q8NFU5	IPMK	Kinase	Tbio	Inositol polyphosphate multikinase
Q9Y616	IRAK3	Kinase	Tchem	Interleukin-1 receptor-associated kinase 3
Q96DU7	ITPKC	Kinase	Tbio	Inositol-trisphosphate 3-kinase C
Q9UHH9	IP6K2	Kinase	Tbio	Inositol hexakisphosphate kinase 2
Q14643	ITPR1	IC	Tchem	Inositol 1,4,5-trisphosphate receptor type 1
Q96MA6	AK8	Kinase	Tbio	Adenylate kinase 8
P27987	ITPKB	Kinase	Tbio	Inositol-trisphosphate 3-kinase B
P17612	PRKACA	Kinase	Tchem	cAMP-dependent protein kinase catalytic subunit alpha
Q92551	IP6K1	Kinase	Tbio	Inositol hexakisphosphate kinase 1
P51617	IRAK1	Kinase	Tchem	Interleukin-1 receptor-associated kinase 1
Q08881	ITK	Kinase	Tclin	Tyrosine-protein kinase ITK/TSK
Q14164	IKBKE	Kinase	Tchem	Inhibitor of nuclear factor kappa-B kinase subunit epsilon
Q14571	ITPR2	IC	Tbio	Inositol 1,4,5-trisphosphate receptor type 2
P14616	INSRR	Kinase	Tchem	Insulin receptor-related protein
Q96PC2	IP6K3	Kinase	Tbio	Inositol hexakisphosphate kinase 3
O43187	IRAK2	Kinase	Tbio	Interleukin-1 receptor-associated kinase-like 2
O15264	MAPK13	Kinase	Tchem	Mitogen-activated protein kinase 13
P33032	MC5R	GPCR	Tchem	Melanocortin receptor 5
Q16659	MAPK6	Kinase	Tchem	Mitogen-activated protein kinase 6
Q13164	MAPK7	Kinase	Tchem	Mitogen-activated protein kinase 7
P45984	MAPK9	Kinase	Tchem	Mitogen-activated protein kinase 9
P53779	MAPK10	Kinase	Tchem	Mitogen-activated protein kinase 10
Q13163	MAP2K5	Kinase	Tchem	Dual specificity mitogen-activated protein kinase kinase 5
P28482	MAPK1	Kinase	Tchem	Mitogen-activated protein kinase 1
Q16539	MAPK14	Kinase	Tchem	Mitogen-activated protein kinase 14
Q9NYL2	MAP3K20	Kinase	Tchem	Mitogen-activated protein kinase kinase kinase MLT
P31152	MAPK4	Kinase	Tbio	Mitogen-activated protein kinase 4
P27361	MAPK3	Kinase	Tchem	Mitogen-activated protein kinase 3
P45983	MAPK8	Kinase	Tchem	Mitogen-activated protein kinase 8
P53778	MAPK12	Kinase	Tchem	Mitogen-activated protein kinase 12
Q8TD08	MAPK15	Kinase	Tchem	Mitogen-activated protein kinase 15
Q9NWW6	NMRK1	Kinase	Tbio	Nicotinamide riboside kinase 1
Q8NGZ9	OR2T10	GPCR	Tdark	Olfactory receptor 2T10
Q8NG77	OR2T12	GPCR	Tdark	Olfactory receptor 2T12
Q8NGX2	OR2T35	GPCR	Tdark	Olfactory receptor 2T35
Q8NGK1	OR51G1	GPCR	Tdark	Olfactory receptor 51G1
Q9H344	OR51I2	GPCR	Tdark	Olfactory receptor 51I2
Q8NGJ5	OR51L1	GPCR	Tdark	Olfactory receptor 51L1
Q8NH59	OR51Q1	GPCR	Tdark	Olfactory receptor 51Q1
Q8NGJ9	OR51T1	GPCR	Tdark	Olfactory receptor 51T1
Q8NGK5	OR52M1	GPCR	Tdark	Olfactory receptor 52M1
Q8NGI2	OR52N4	GPCR	Tdark	Olfactory receptor 52N4
Q8NH54	OR56A3	GPCR	Tdark	Olfactory receptor 56A3
Q8NGH8	OR56A4	GPCR	Tdark	Olfactory receptor 56A4
Q8NH76	OR56B4	GPCR	Tdark	Olfactory receptor 56B4
Q8NH89	OR5AK3P	GPCR	Tdark	Putative olfactory receptor 5AK3
Q8NGF4	OR5AP2	GPCR	Tdark	Olfactory receptor 5AP2
A6NHG9	OR5H14	GPCR	Tdark	Olfactory receptor 5H14
A6NM76	OR6C76	GPCR	Tdark	Olfactory receptor 6C76
Q8NGN4	OR10G9	GPCR	Tdark	Olfactory receptor 10G9
O60403	OR10H2	GPCR	Tdark	Olfactory receptor 10H2
P30954	OR10J1	GPCR	Tdark	Olfactory receptor 10J1
Q8NGN2	OR10S1	GPCR	Tdark	Olfactory receptor 10S1
Q8NGF6	OR10W1	GPCR	Tdark	Olfactory receptor 10W1
Q8NGC9	OR11H4	GPCR	Tdark	Olfactory receptor 11H4
B2RN74	OR11H12	GPCR	Tdark	Olfactory receptor 11H12
Q8NGS6	OR13C3	GPCR	Tdark	Olfactory receptor 13C3
Q8NGZ3	OR13G1	GPCR	Tdark	Olfactory receptor 13G1
Q8NHC7	OR14C36	GPCR	Tdark	Olfactory receptor 14C36
Q8NHC6	OR14L1P	GPCR	Tdark	Putative olfactory receptor 14L1
Q8NGT7	OR2A12	GPCR	Tdark	Olfactory receptor 2A12
A4D2G3	OR2A25	GPCR	Tdark	Olfactory receptor 2A25
Q8NG84	OR2AK2	GPCR	Tdark	Olfactory receptor 2AK2
Q8NH02	OR2T29	GPCR	Tdark	Olfactory receptor 2T29
Q8NGX1	OR2T34	GPCR	Tdark	Olfactory receptor 2T34
A6NMZ5	OR4C45	GPCR	Tdark	Olfactory receptor 4C45
Q8NGJ6	OR51A4	GPCR	Tdark	Olfactory receptor 51A4
Q9Y5P0	OR51B4	GPCR	Tdark	Olfactory receptor 51B4
A6NGY5	OR51F1	GPCR	Tdark	Olfactory receptor 51F1
Q9H343	OR51I1	GPCR	Tdark	Olfactory receptor 51I1
Q9UKL2	OR52A1	GPCR	Tdark	Olfactory receptor 52A1
Q9H346	OR52D1	GPCR	Tdark	Olfactory receptor 52D1
Q8NGJ2	OR52H1	GPCR	Tdark	Olfactory receptor 52H1
Q8NGK3	OR52K2	GPCR	Tdark	Olfactory receptor 52K2
Q8NH56	OR52N5	GPCR	Tdark	Olfactory receptor 52N5
Q8NGF1	OR52R1	GPCR	Tdark	Olfactory receptor 52R1
Q8NGI1	OR56B2P	GPCR	Tdark	Putative olfactory receptor 56B2
Q8NH90	OR5AK2	GPCR	Tdark	Olfactory receptor 5AK2
Q8NGI8	OR5AN1	GPCR	Tdark	Olfactory receptor 5AN1
Q8NGC0	OR5AU1	GPCR	Tdark	Olfactory receptor 5AU1
A6NIJ9	OR6C70	GPCR	Tdark	Olfactory receptor 6C70
Q9H093	NUAK2	Kinase	Tchem	NUAK family SNF1-like kinase 2
Q8NH74	OR10A6	GPCR	Tdark	Olfactory receptor 10A6
Q8NGE0	OR10AD1	GPCR	Tdark	Olfactory receptor 10AD1
Q8NH80	OR10D3	GPCR	Tdark	Putative olfactory receptor 10D3
Q8NGC4	OR10G3	GPCR	Tdark	Olfactory receptor 10G3
Q8NH63	OR51H1	GPCR	Tdark	Olfactory receptor 51H1
A6NMU1	OR52A4P	GPCR	Tdark	Olfactory receptor 52A4
Q8NGK2	OR52B4	GPCR	Tdark	Olfactory receptor 52B4
Q8NGJ3	OR52E1	GPCR	Tdark	Olfactory receptor 52E1
Q8NGH9	OR52E4	GPCR	Tdark	Olfactory receptor 52E4
Q6IFG1	OR52E8	GPCR	Tdark	Olfactory receptor 52E8
Q8NGH6	OR52L2P	GPCR	Tdark	Putative olfactory receptor 52L2
Q8NH53	OR52N1	GPCR	Tdark	Olfactory receptor 52N1
Q8NGI0	OR52N2	GPCR	Tdark	Olfactory receptor 52N2
Q6IF63	OR52W1	GPCR	Tdark	Olfactory receptor 52W1
Q9NZP5	OR5AC2	GPCR	Tdark	Olfactory receptor 5AC2
Q8NGP9	OR5AR1	GPCR	Tdark	Olfactory receptor 5AR1
A6NDH6	OR5H15	GPCR	Tdark	Olfactory receptor 5H15
A6NJZ3	OR6C65	GPCR	Tdark	Olfactory receptor 6C65
P41143	OPRD1	GPCR	Tclin	Delta-type opioid receptor
P58170	OR1D5	GPCR	Tdark	Olfactory receptor 1D5
P47887	OR1E2	GPCR	Tdark	Olfactory receptor 1E2
Q8NGS2	OR1J2	GPCR	Tdark	Olfactory receptor 1J2
Q8NH94	OR1L1	GPCR	Tdark	Olfactory receptor 1L1
Q8NGA1	OR1M1	GPCR	Tdark	Olfactory receptor 1M1
Q8NGR9	OR1N2	GPCR	Tdark	Olfactory receptor 1N2
Q96R45	OR2A7	GPCR	Tdark	Olfactory receptor 2A7
O76000	OR2B3	GPCR	Tdark	Putative olfactory receptor 2B3
O95371	OR2C1	GPCR	Tdark	Olfactory receptor 2C1
Q8NG80	OR2L5	GPCR	Tdark	Olfactory receptor 2L5
Q8N349	OR2L13	GPCR	Tdark	Olfactory receptor 2L13
A3KFT3	OR2M5	GPCR	Tdark	Olfactory receptor 2M5
P0C7T2	OR2T7	GPCR	Tdark	Olfactory receptor 2T7
Q96R30	OR2V2	GPCR	Tdark	Olfactory receptor 2V2
Q8NG97	OR2Z1	GPCR	Tdark	Olfactory receptor 2Z1
Q9Y3N9	OR2W1	GPCR	Tdark	Olfactory receptor 2W1
P47881	OR3A1	GPCR	Tdark	Olfactory receptor 3A1
Q8NH83	OR4A5	GPCR	Tdark	Olfactory receptor 4A5
Q8NGB2	OR4C5	GPCR	Tdark	Olfactory receptor 4C5
Q8NH72	OR4C6	GPCR	Tdark	Olfactory receptor 4C6
Q96R67	OR4C12	GPCR	Tdark	Olfactory receptor 4C12
P58180	OR4D2	GPCR	Tdark	Olfactory receptor 4D2
Q8NGJ1	OR4D6	GPCR	Tdark	Olfactory receptor 4D6
Q8NGC2	OR4E2	GPCR	Tdark	Olfactory receptor 4E2
Q8NH21	OR4F5	GPCR	Tdark	Olfactory receptor 4F5
P0C623	OR4Q2	GPCR	Tdark	Olfactory receptor 4Q2
Q8NGF9	OR4X2	GPCR	Tdark	Olfactory receptor 4X2
Q8NGI9	OR5A2	GPCR	Tdark	Olfactory receptor 5A2
Q8NGF7	OR5B17	GPCR	Tdark	Olfactory receptor 5B17
Q8NGK9	OR5D16	GPCR	Tdark	Olfactory receptor 5D16
Q8NGV6	OR5H6	GPCR	Tdark	Olfactory receptor 5H6
Q13606	OR5I1	GPCR	Tdark	Olfactory receptor 5I1
A6NET4	OR5K3	GPCR	Tdark	Olfactory receptor 5K3
Q8NGP4	OR5M3	GPCR	Tdark	Olfactory receptor 5M3
Q6IEU7	OR5M10	GPCR	Tdark	Olfactory receptor 5M10
Q8NG75	OR5T1	GPCR	Tdark	Olfactory receptor 5T1
O95222	OR6A2	GPCR	Tdark	Olfactory receptor 6A2
Q6IFH4	OR6B2	GPCR	Tdark	Olfactory receptor 6B2
Q9NZP2	OR6C2	GPCR	Tdark	Olfactory receptor 6C2
A6NF89	OR6C6	GPCR	Tdark	Olfactory receptor 6C6
Q8NGY5	OR6N1	GPCR	Tdark	Olfactory receptor 6N1
Q8NH40	OR6S1	GPCR	Tdark	Olfactory receptor 6S1
Q8N148	OR6V1	GPCR	Tdark	Olfactory receptor 6V1
